customer_id,customer_name,customer_segment,last_order_date,days_since_last
107,Michael Wilson,Consumer,2021-01-01,1460
114,Charles Martinez,Consumer,2021-01-03,1458
1032,Ashley Rodriguez,Corporate,2021-01-26,1435
239,Susan Lewis,Consumer,2021-02-04,1426
1529,Robert Martin,Consumer,2021-03-16,1386
397,Brandon Young,Consumer,2021-03-24,1378
1266,Patricia King,Corporate,2021-05-11,1330
1644,Ashley Johnson,Consumer,2021-05-15,1326
37,Justin Johnson,Consumer,2021-05-19,1322
47,Scott Wilson,Home Office,2021-05-25,1316
1,Andrew Lewis,Corporate,2021-06-16,1294
1003,Jennifer Brown,Consumer,2021-07-07,1273
713,Joshua Lopez,Consumer,2021-07-10,1270
601,Mary Allen,Small Business,2021-07-26,1254
461,Sarah Garcia,Home Office,2021-08-28,1221
927,Robert Garcia,Consumer,2021-08-30,1219
201,Angela Wilson,Consumer,2021-08-31,1218
1312,Linda Lewis,Consumer,2021-09-09,1209
1526,Karen Williams,Consumer,2021-09-09,1209
1253,Amy Jackson,Corporate,2021-09-18,1200
1469,Brittany King,Consumer,2021-09-26,1192
812,Susan Thompson,Consumer,2021-10-04,1184
1547,William Jackson,Consumer,2021-10-09,1179
893,Linda Anderson,Consumer,2021-10-13,1175
269,William Harris,Small Business,2021-10-17,1171
1732,Robert Allen,Consumer,2021-11-01,1156
1511,Amanda Garcia,Consumer,2021-11-02,1155
1652,Thomas Clark,Consumer,2021-11-03,1154
566,Michael Smith,Consumer,2021-11-07,1150
1608,Emily Martin,Consumer,2021-11-07,1150
298,Anthony Thomas,Home Office,2021-11-17,1140
1039,Brittany Jones,Small Business,2021-11-18,1139
1132,Jason Jones,Consumer,2021-12-04,1123
746,Karen White,Consumer,2021-12-12,1115
278,Michael Thompson,Corporate,2021-12-19,1108
1473,Jason King,Small Business,2021-12-20,1107
698,Justin White,Consumer,2021-12-30,1097
997,Jessica Martinez,Consumer,2022-01-09,1087
1453,Stephanie Lewis,Corporate,2022-01-14,1082
179,Sandra Jackson,Consumer,2022-01-20,1076
1646,Barbara Clark,Small Business,2022-01-28,1068
840,Charles Miller,Consumer,2022-01-30,1066
1394,Susan Hernandez,Home Office,2022-02-06,1059
324,Michael Wilson,Consumer,2022-02-10,1055
855,Laura Ramirez,Consumer,2022-02-16,1049
1592,Michelle Johnson,Corporate,2022-02-20,1045
682,Andrew Rodriguez,Consumer,2022-02-21,1044
1512,James Lopez,Consumer,2022-02-22,1043
486,Patricia Thompson,Small Business,2022-02-24,1041
118,Susan Walker,Consumer,2022-03-08,1029
1213,Linda Gonzalez,Small Business,2022-03-16,1021
1400,Andrew Martinez,Corporate,2022-03-21,1016
1781,Matthew Hernandez,Consumer,2022-03-21,1016
353,Elizabeth King,Home Office,2022-03-28,1009
19,Laura Perez,Small Business,2022-03-30,1007
71,Patricia Jackson,Consumer,2022-03-30,1007
3,Linda Moore,Small Business,2022-04-04,1002
1426,Daniel Wilson,Home Office,2022-04-06,1000
1666,Laura Jones,Consumer,2022-04-19,987
136,David Walker,Consumer,2022-05-15,961
290,Charles Walker,Home Office,2022-05-20,956
1331,Melissa Thomas,Consumer,2022-05-26,950
15,Laura Martinez,Consumer,2022-06-07,938
632,Jessica Hernandez,Corporate,2022-06-07,938
1444,Amanda Davis,Small Business,2022-06-14,931
460,Andrew Lee,Corporate,2022-06-23,922
969,William Lopez,Small Business,2022-06-25,920
635,Patricia Anderson,Corporate,2022-07-09,906
342,Thomas Robinson,Consumer,2022-07-13,902
300,Rebecca Moore,Consumer,2022-08-01,883
394,Ashley Harris,Consumer,2022-08-01,883
314,Kevin Thomas,Consumer,2022-08-06,878
961,James Martinez,Small Business,2022-08-08,876
142,Amanda Wilson,Consumer,2022-08-10,874
1117,Daniel Martin,Consumer,2022-08-12,872
1011,Laura Wilson,Consumer,2022-08-23,861
141,William Robinson,Consumer,2022-08-25,859
818,David Thompson,Consumer,2022-08-25,859
18,Scott Moore,Consumer,2022-08-26,858
1741,William Jackson,Home Office,2022-08-27,857
1377,Joshua Allen,Corporate,2022-08-28,856
754,Justin Allen,Small Business,2022-09-01,852
1177,Thomas Smith,Corporate,2022-09-02,851
575,William Smith,Small Business,2022-09-04,849
1359,Kimberly Davis,Consumer,2022-09-04,849
934,Linda Garcia,Consumer,2022-09-11,842
1017,Kimberly Harris,Small Business,2022-09-16,837
647,Karen Rodriguez,Corporate,2022-09-28,825
422,Jessica Brown,Consumer,2022-10-20,803
1454,Jason Hernandez,Consumer,2022-10-22,801
1422,Christopher Smith,Consumer,2022-10-26,797
170,Jeffrey Lee,Consumer,2022-10-27,796
941,Emily Robinson,Consumer,2022-10-31,792
308,Emily Johnson,Home Office,2022-11-03,789
235,Thomas Lee,Consumer,2022-11-06,786
570,Patricia Brown,Consumer,2022-11-09,783
137,Amanda Garcia,Corporate,2022-11-19,773
1137,Mary Harris,Small Business,2022-11-24,768
375,Barbara Thompson,Consumer,2022-12-01,761
931,Robert Hernandez,Home Office,2022-12-04,758
592,Amanda Moore,Consumer,2022-12-06,756
13,William Moore,Corporate,2022-12-11,751
1021,Nicole Garcia,Home Office,2022-12-15,747
86,Nicole Moore,Consumer,2022-12-19,743
38,Brittany Martinez,Home Office,2022-12-20,742
147,James Williams,Corporate,2022-12-24,738
388,Sharon Brown,Home Office,2022-12-26,736
219,Michelle Harris,Consumer,2022-12-30,732
596,Daniel Lopez,Corporate,2022-12-30,732
1624,Patricia Wilson,Small Business,2023-01-13,718
1028,Thomas Thompson,Consumer,2023-01-17,714
1639,Emily Miller,Consumer,2023-02-10,690
1784,Andrew Gonzalez,Home Office,2023-02-10,690
1167,Michael White,Corporate,2023-02-11,689
1345,Andrew Davis,Corporate,2023-02-14,686
1050,Elizabeth Rodriguez,Home Office,2023-02-22,678
1216,Michelle Davis,Consumer,2023-02-22,678
1655,Jessica Taylor,Consumer,2023-02-23,677
532,Melissa Perez,Corporate,2023-02-25,675
1297,Susan Allen,Home Office,2023-03-03,669
1186,Jennifer Perez,Home Office,2023-03-04,668
1355,Kimberly Rodriguez,Consumer,2023-03-04,668
338,Melissa White,Consumer,2023-03-05,667
1448,Ashley Rodriguez,Small Business,2023-03-05,667
340,Emily Clark,Home Office,2023-03-06,666
693,John Harris,Consumer,2023-03-08,664
1205,Angela Harris,Consumer,2023-03-08,664
508,Elizabeth Ramirez,Home Office,2023-03-09,663
1169,Susan Clark,Corporate,2023-03-09,663
811,Stephanie Lopez,Corporate,2023-03-14,658
876,Tiffany Perez,Consumer,2023-03-19,653
1145,Mary Smith,Home Office,2023-03-26,646
741,Angela Thompson,Small Business,2023-04-09,632
950,Matthew Taylor,Consumer,2023-04-10,631
1664,William Clark,Home Office,2023-04-11,630
155,Sharon Jones,Consumer,2023-04-17,624
1340,Patricia King,Small Business,2023-04-20,621
1358,Nicole Hernandez,Small Business,2023-04-25,616
1564,Tiffany Anderson,Home Office,2023-04-25,616
727,Mary Perez,Corporate,2023-04-28,613
1418,Nicole Martinez,Consumer,2023-04-28,613
543,Melissa Walker,Consumer,2023-04-29,612
1165,Amy Gonzalez,Consumer,2023-04-30,611
784,William Miller,Consumer,2023-05-03,608
1107,Sarah Smith,Consumer,2023-05-07,604
210,Daniel Moore,Consumer,2023-05-09,602
1247,Matthew Martinez,Consumer,2023-05-12,599
598,Amanda Martin,Small Business,2023-05-15,596
983,John Lopez,Corporate,2023-05-20,591
1417,Elizabeth Allen,Consumer,2023-05-24,587
924,Brian Johnson,Consumer,2023-05-27,584
457,Ashley King,Corporate,2023-05-29,582
456,Michael Sanchez,Consumer,2023-06-01,579
443,Sandra Jackson,Consumer,2023-06-06,574
1286,Michael Walker,Corporate,2023-06-06,574
1451,Jeffrey Miller,Small Business,2023-06-12,568
151,David Thomas,Consumer,2023-06-13,567
98,Jennifer Garcia,Home Office,2023-06-18,562
1279,Sarah Clark,Home Office,2023-06-21,559
1619,Sarah Williams,Consumer,2023-06-21,559
476,Amy Taylor,Consumer,2023-06-25,555
67,Linda Wilson,Home Office,2023-07-01,549
428,Elizabeth Thompson,Small Business,2023-07-15,535
310,Andrew Thomas,Consumer,2023-07-18,532
1034,Matthew King,Home Office,2023-07-18,532
1775,Brandon Brown,Consumer,2023-07-18,532
1438,Robert Jackson,Consumer,2023-07-24,526
1007,Laura Walker,Small Business,2023-07-25,525
1425,Tiffany Anderson,Home Office,2023-07-30,520
1215,Jennifer Jackson,Corporate,2023-07-31,519
373,Michael Anderson,Corporate,2023-08-01,518
1069,Stephanie Wilson,Consumer,2023-08-01,518
590,Thomas Rodriguez,Consumer,2023-08-04,515
11,Ashley Harris,Corporate,2023-08-16,503
1191,Laura Hernandez,Consumer,2023-08-16,503
1348,Susan Miller,Home Office,2023-08-16,503
1350,James Gonzalez,Consumer,2023-08-18,501
1681,John Wilson,Home Office,2023-08-18,501
203,Brandon Jackson,Consumer,2023-08-19,500
104,Emily Thompson,Consumer,2023-08-23,496
226,Michelle Sanchez,Consumer,2023-08-25,494
1166,Kevin Lewis,Small Business,2023-08-25,494
870,Amy Walker,Home Office,2023-08-26,493
805,Brittany Lee,Consumer,2023-08-27,492
991,Sandra Garcia,Home Office,2023-09-01,487
1315,Karen Davis,Consumer,2023-09-06,482
761,Stephanie White,Consumer,2023-09-07,481
954,Matthew Brown,Consumer,2023-09-09,479
127,Brian Hernandez,Consumer,2023-09-10,478
1343,Sandra Robinson,Consumer,2023-09-10,478
636,Ashley Williams,Home Office,2023-09-17,471
337,Amanda Rodriguez,Corporate,2023-09-20,468
859,William Lopez,Consumer,2023-09-21,467
914,Michael Johnson,Small Business,2023-09-23,465
988,Andrew Davis,Consumer,2023-09-24,464
1621,Sarah Harris,Consumer,2023-09-24,464
410,Andrew King,Consumer,2023-09-29,459
665,Brittany Williams,Consumer,2023-09-29,459
534,Patricia Young,Consumer,2023-10-03,455
912,Sharon Robinson,Home Office,2023-10-04,454
435,Anthony Lee,Consumer,2023-10-07,451
1118,Brandon Thompson,Consumer,2023-10-07,451
1487,Barbara King,Consumer,2023-10-09,449
629,Melissa Martinez,Consumer,2023-10-14,444
1091,Amy King,Home Office,2023-10-21,437
1661,Melissa Perez,Small Business,2023-10-22,436
1513,Daniel Smith,Home Office,2023-10-27,431
619,Kimberly Lopez,Consumer,2023-10-29,429
1051,Laura Perez,Consumer,2023-11-01,426
642,Ashley Thomas,Home Office,2023-11-03,424
55,Tiffany Allen,Home Office,2023-11-05,422
108,Jason Gonzalez,Consumer,2023-11-05,422
1324,Sandra Miller,Consumer,2023-11-05,422
1176,Daniel Gonzalez,Corporate,2023-11-08,419
1482,Barbara Moore,Home Office,2023-11-10,417
409,David Davis,Consumer,2023-11-12,415
858,Susan Brown,Consumer,2023-11-14,413
1750,Brandon Jackson,Small Business,2023-11-14,413
248,Christopher Allen,Small Business,2023-11-15,412
1545,Rebecca Martin,Home Office,2023-11-15,412
1305,Sarah Thompson,Corporate,2023-11-18,409
222,Joshua Young,Consumer,2023-11-19,408
947,Matthew Anderson,Home Office,2023-11-20,407
465,Amy Johnson,Corporate,2023-11-23,404
1309,Thomas Thomas,Corporate,2023-11-23,404
845,Brian Williams,Corporate,2023-11-24,403
994,Justin Perez,Consumer,2023-11-28,399
1733,Brian Thompson,Corporate,2023-11-28,399
1150,John Moore,Consumer,2023-11-29,398
1085,Patricia Moore,Home Office,2023-12-02,395
1333,Andrew Perez,Corporate,2023-12-02,395
128,Matthew White,Home Office,2023-12-08,389
708,Anthony King,Consumer,2023-12-08,389
282,Jason Thompson,Consumer,2023-12-09,388
1746,Sharon Young,Consumer,2023-12-10,387
482,Scott Perez,Consumer,2023-12-11,386
1135,Jason Harris,Consumer,2023-12-11,386
341,Brian Johnson,Consumer,2023-12-13,384
546,Melissa Walker,Corporate,2023-12-16,381
1076,Karen Martin,Consumer,2023-12-16,381
1445,Amanda Martin,Corporate,2023-12-16,381
1139,Sarah Allen,Consumer,2023-12-17,380
1485,Karen Gonzalez,Consumer,2023-12-18,379
709,Nicole Rodriguez,Corporate,2023-12-19,378
872,Jennifer Harris,Consumer,2023-12-19,378
1200,Michelle Martinez,Corporate,2023-12-19,378
1327,Matthew Garcia,Small Business,2023-12-19,378
839,Kevin Lee,Consumer,2023-12-21,376
1693,John Williams,Home Office,2023-12-21,376
274,Charles Johnson,Home Office,2023-12-22,375
1691,William Allen,Home Office,2023-12-22,375
1764,Amanda Wilson,Consumer,2023-12-22,375
304,Robert Thomas,Consumer,2023-12-23,374
440,Linda Wilson,Consumer,2023-12-23,374
