customer_id,customer_name,customer_segment,region,total_spend,orders
173,Linda Garcia,Corporate,East,857086.79,310
897,Patricia Williams,Corporate,East,564381.96,234
1375,Andrew Williams,Corporate,West,561241.86,218
433,Linda Robinson,Corporate,East,520514.97,192
1788,Charles Allen,Corporate,South,504386.68,201
1173,Melissa Walker,Small Business,West,498076.77,203
1349,Barbara Sanchez,Corporate,Central,472961.5,174
119,Matthew Thompson,Corporate,West,423118.8,176
59,Justin Jones,Corporate,South,412021.15,141
1180,William Williams,Corporate,South,390482.54,143
