customer_id,customer_name,customer_segment,order_count,total_spend
173,Linda Garcia,Corporate,310,857086.79
897,Patricia Williams,Corporate,234,564381.96
1375,Andrew Williams,Corporate,218,561241.86
1173,Melissa Walker,Small Business,203,498076.77
1788,Charles Allen,Corporate,201,504386.68
433,Linda Robinson,Corporate,192,520514.97
119,Matthew Thompson,Corporate,176,423118.8
1349,Barbara Sanchez,Corporate,174,472961.5
1553,Rebecca Hernandez,Small Business,167,386160.45
1363,Brittany Harris,Corporate,145,340052.42
1180,William Williams,Corporate,143,390482.54
873,Barbara Sanchez,Small Business,142,292157.0
59,Justin Jones,Corporate,141,412021.15
1226,Charles Brown,Small Business,134,302953.65
116,Melissa Garcia,Corporate,133,331712.41
996,Brittany Anderson,Small Business,130,277443.17
131,William Harris,Corporate,129,297538.79
616,Thomas Robinson,Corporate,127,308392.02
1735,Jessica Harris,Corporate,123,271066.99
1354,Susan Jones,Corporate,123,302460.26
1611,Stephanie Perez,Corporate,121,296471.48
1780,Mary Wilson,Corporate,115,284195.86
1725,James Jones,Corporate,112,283929.85
1294,Karen Johnson,Small Business,112,249330.42
438,William Miller,Corporate,111,257125.27
216,William Lee,Corporate,107,262238.18
374,Brittany Wilson,Corporate,105,238138.38
1552,Amy White,Small Business,104,216479.67
1472,Sarah Gonzalez,Corporate,104,273534.31
257,Stephanie Moore,Small Business,102,226275.45
109,Linda Sanchez,Corporate,102,239372.74
253,Elizabeth Lewis,Corporate,101,253258.13
161,Brandon Brown,Corporate,101,234772.39
930,Andrew Davis,Home Office,100,161715.96
106,Angela Perez,Small Business,99,248369.22
792,Jeffrey Anderson,Small Business,98,228371.99
497,Charles Gonzalez,Corporate,97,266428.6
187,Karen Robinson,Corporate,96,240439.83
1082,Stephanie Hernandez,Small Business,95,216451.01
437,John Lee,Corporate,95,244658.68
376,James Miller,Corporate,95,253337.86
1368,Brian Martin,Corporate,92,213008.12
1113,Patricia Allen,Small Business,91,208154.77
1756,Christopher Moore,Corporate,90,211007.0
1325,Joshua Wilson,Corporate,90,282317.76
810,Jessica Young,Corporate,88,238397.78
977,Karen Taylor,Corporate,87,238872.14
538,Brian Martinez,Corporate,87,236562.16
1468,Daniel Martin,Small Business,86,147916.36
1751,Jeffrey Thomas,Corporate,85,207548.13
769,Thomas Robinson,Corporate,85,217808.85
594,Sandra Wilson,Home Office,85,162235.87
972,Amanda Thompson,Small Business,84,210250.53
172,Michelle Harris,Corporate,84,237746.78
283,Rebecca Jackson,Corporate,83,253467.3
1428,Ashley Martin,Home Office,82,140335.2
1259,Robert Thomas,Small Business,82,212557.63
918,James Thompson,Corporate,81,232612.66
199,Melissa Ramirez,Corporate,81,193682.14
492,Anthony Garcia,Small Business,79,170676.09
849,Charles Sanchez,Corporate,78,179680.39
345,Rebecca King,Corporate,78,212938.28
510,Kimberly Robinson,Small Business,77,176701.06
124,Brittany Jackson,Corporate,77,164210.39
1364,Stephanie Robinson,Corporate,76,183997.77
1219,Rebecca King,Corporate,76,203496.72
719,Daniel Allen,Corporate,76,196465.25
1471,Joshua Jackson,Consumer,75,98173.44
1189,William Jones,Corporate,75,173169.14
669,Sharon Walker,Small Business,75,165767.22
593,John Robinson,Corporate,75,208320.07
1382,Andrew Wilson,Corporate,74,177568.07
1308,Jessica Garcia,Home Office,74,104680.42
725,Linda Smith,Small Business,74,197504.55
1567,Joshua Williams,Corporate,73,199946.51
1481,James Brown,Corporate,73,173178.22
585,William Smith,Corporate,73,206190.15
193,Kevin Wilson,Corporate,73,167263.4
1635,Thomas Martinez,Corporate,72,184305.27
1505,Nicole Miller,Corporate,72,208699.62
1415,Thomas Robinson,Corporate,72,150205.86
1072,Sarah Perez,Consumer,72,104230.99
801,John Harris,Small Business,72,165331.11
271,David Thompson,Corporate,72,182467.94
1695,Jennifer Jones,Corporate,71,162025.16
134,Andrew Lee,Corporate,71,184003.65
1588,Stephanie Jackson,Small Business,70,161248.95
1523,Melissa Young,Corporate,69,182393.72
1380,Jessica Harris,Corporate,69,173878.22
6,Jason Young,Corporate,69,171539.26
1543,Brandon Hernandez,Corporate,68,165706.9
783,Elizabeth Gonzalez,Small Business,65,138981.38
468,Tiffany Davis,Corporate,65,194649.01
368,Andrew Miller,Corporate,65,162849.86
1578,Laura Ramirez,Home Office,64,106317.54
1284,Joshua Wilson,Corporate,64,184909.14
1211,Jessica Jackson,Home Office,64,87194.1
940,Nicole Williams,Consumer,64,71327.02
622,Rebecca Clark,Consumer,64,67152.79
416,Melissa Williams,Home Office,64,106311.9
84,Matthew Brown,Corporate,64,142619.76
1477,Patricia Wilson,Consumer,63,68256.92
441,Amanda Davis,Small Business,63,145477.1
32,Rebecca Young,Corporate,63,140434.76
364,Amanda Anderson,Corporate,62,159449.94
334,William Williams,Small Business,62,146467.0
1335,Rebecca Lewis,Corporate,61,138265.75
843,Tiffany Walker,Small Business,61,148908.87
152,Jessica King,Small Business,61,137225.07
1638,Tiffany Williams,Corporate,60,144436.24
1062,Emily Moore,Corporate,60,158055.91
493,Jennifer Garcia,Home Office,60,111746.56
1522,Karen Johnson,Small Business,59,123529.52
